pid,w06e201,w06e207,w06e213,w06e219,w06e225,w06e231,w06e237,w06e243,w06e249,w06e255,w06e261,w06e267,w06e273
11,80,20,5,0,0,25,5,5,0,0,2,2,5
21,350,30,50,0,0,20,40,30,50,0,20,20,100
22,,,,,,,,,,,,,
41,70,25,5,0,0,15,20,1,0,0,4,1,0
42,,,,,,,,,,,,,
51,,,,,,,,,,,,,
52,100,50,10,0,0,15,5,5,0,0,4,2,2
61,,,,,,,,,,,,,
62,60,20,5,0,0,10,1,5,0,0,4,0,5
71,40,5,1,0,0,10,2,3,0,0,4,1,2
72,,,,,,,,,,,,,
82,160,30,10,0,0,20,65,5,0,0,5,3,10
101,160,30,3,1,40,60,1,5,0,0,10,1,2
111,,,,,,,,,,,,,
112,80,30,5,0,0,15,3,3,0,0,10,6,5
121,200,30,20,0,0,20,1,10,40,20,30,5,10
122,,,,,,,,,,,,,
131,,,,,,,,,,,,,
132,130,30,30,0,0,20,2,5,0,25,6,10,5
151,,,,,,,,,,,,,
152,450,30,10,0,100,30,50,10,0,0,8,20,10
161,300,60,10,0,30,25,3,20,20,20,20,10,10
181,,,,,,,,,,,,,
182,150,10,10,0,0,20,1,5,60,0,10,3,5
191,150,50,5,0,0,25,0,5,30,0,5,0,2
211,100,30,0,0,0,20,0,5,0,0,2,0,0
212,,,,,,,,,,,,,
231,50,15,0,0,0,5,0,2,0,0,1,0,0
241,250,80,20,0,0,25,0,5,0,0,11,5,5
261,100,30,0,0,0,50,0,3,0,0,4,3,0
262,,,,,,,,,,,,,
291,100,40,10,0,0,20,5,5,0,0,4,5,3
302,250,60,10,80,0,15,40,3,5,0,20,2,2
311,80,30,10,0,0,13,4,3,0,0,4,1,3
312,,,,,,,,,,,,,
341,90,20,10,0,0,50,0,0,0,0,2,2,0
351,70,20,0,0,0,40,1,0,0,0,4,0,0
352,,,,,,,,,,,,,
361,200,60,10,0,0,20,2,10,30,30,10,10,10
391,,,,,,,,,,,,,
392,100,50,1,0,0,15,10,4,0,0,10,0,2
402,100,30,1,0,0,15,40,0,0,0,5,0,0
411,250,50,5,0,0,20,140,3,0,0,10,0,20
412,,,,,,,,,,,,,
421,400,90,30,0,0,20,2,7,90,10,23,10,10
422,,,,,,,,,,,,,
