pid,w06a002_age,w06edu,w06marital,w06gender1,w06region1,w06e147,w06f001,w06job
11,84,2,4,5,11,3000,1,3
21,62,4,1,5,11,18400,1,1
22,63,4,1,1,11,18400,1,1
41,81,1,1,5,11,600,1,3
42,82,3,1,1,11,600,1,3
51,75,1,1,1,11,1800,1,1
52,71,1,1,5,11,1600,1,1
61,78,1,1,1,11,3000,1,3
62,73,1,1,5,11,3000,1,3
71,66,1,1,5,11,240,1,3
72,76,1,1,1,11,450,1,1
82,72,2,1,1,11,2000,1,1
101,80,1,4,5,11,2000,1,2
111,71,1,1,1,11,4000,1,1
112,68,1,1,5,11,4000,1,3
121,56,3,1,5,11,2500,1,2
122,56,4,1,1,11,2400,1,2
131,71,1,1,1,11,2900,1,1
132,66,2,1,5,11,2900,1,1
151,74,4,1,1,11,14500,1,3
152,70,4,1,5,11,14500,1,3
161,73,4,4,5,11,7000,1,3
181,56,3,1,5,11,5000,2,1
182,56,3,1,1,11,5000,2,1
191,59,1,4,5,11,3000,1,2
211,88,1,1,1,11,4500,1,3
212,80,1,1,5,11,4500,1,3
231,83,1,3,5,11,600,2,3
241,89,3,4,1,11,3000,1,3
261,71,2,1,1,11,1800,3,3
262,68,1,1,5,11,1800,3,1
291,77,1,4,5,11,1200,1,3
302,83,1,4,1,31,3000,2,3
311,65,1,1,5,11,1500,1,3
312,69,3,1,1,11,1500,1,3
341,75,3,4,1,11,500,3,3
351,69,3,1,1,11,200,3,3
352,66,3,1,5,11,200,3,3
361,70,3,1,1,11,3000,1,1
391,73,2,1,5,11,1536,1,3
392,79,3,1,1,11,1416,1,3
402,79,1,4,5,11,960,1,3
411,71,2,1,5,11,2940,1,1
412,73,2,1,1,11,2900,1,1
421,61,3,1,5,11,8333.333333333334,1,3
422,60,4,1,1,11,10000,1,1
431,60,3,1,1,11,5460,1,1
432,59,3,1,5,11,5460,1,3
442,69,1,4,5,11,1200,1,2
491,69,3,1,5,25,2000,2,3
492,69,4,1,1,25,2000,2,2
511,71,3,1,1,31,3000,1,3
512,66,3,1,5,31,3000,1,3
521,75,3,4,5,11,1404,2,1
531,89,1,4,5,11,240,2,3
551,56,3,1,1,11,10000,1,1
552,56,3,1,5,11,300,1,3
562,76,1,4,5,11,2000,3,3
581,65,3,3,1,11,2052,3,1
592,56,3,1,5,11,5000,1,3
611,80,2,4,5,11,380,2,1
621,59,3,1,5,11,7500,1,1
631,75,3,4,5,31,120,2,3
641,65,3,1,5,11,3700,1,3
642,67,2,1,1,11,4000,1,3
651,61,3,1,5,11,5600,1,1
652,65,3,1,1,11,5600,1,1
