Unnamed: 0,title,text,label,label_llm,label_rag
8215, REPORT: Chaos Reigns Inside The White House As Trump Considers Firing Priebus And Flynn,"Donald Trump can t handle the complexity of running the White House and heads are reportedly going to roll for it.It has now been over three weeks since Donald Trump took over the White House and he still can t deal with all the problems that have plagued his administration. Infighting, power grabs, and ineptness have created an atmosphere of paranoia and mistrust.Reince Priebus has done a poor job as chief of staff while Sean Spicer, whom Priebus supported for Trump s Press Secretary, has done an equally poor job by embarrassing himself and Trump every time he faces reporters at the daily press briefing.National security adviser Michael Flynn, meanwhile, just got busted negotiating with the Russian government over sanctions in violation of the Logan Act. Flynn lied about talking to the Russian ambassador prior to Trump taking over the presidency and the Logan Act specifically bars citizens from negotiating with foreign powers. The White House is showing not the amount of order that we need to see. I think there s a lot of weakness coming out of the chief of staff,  Trump supporter and Newsmax CEO Chris Ruddy told CNN recently.Axios reports that many staffers are insecure because Trump only respects people who are personally financially successful, which is why he chose many Goldman Sachs executives and employees to work for the administration.A White House source also told Axios that Trump and his team have to put out  400 fires a day. Yeah, it s apparently THAT chaotic.The source further told Axios that Flynn is certain to be canned soon because he committed  an unpardonable sin  by making Trump and Pence look like fools.Donald Trump has no clue what he is doing and he only digs a deeper hole by pretending that he does. His ego is so fragile that he won t concede that he can t do the job. His advisers each have an agenda of their own and they are fighting with each other for Trump s ear. It also doesn t help that Trump s advisers are inept whenever the appear on television to defend their boss.Trump also has to deal with reports that Steve Bannon is basically calling the shots, leading many people to refer to Bannon as  President Bannon. That must really be bruising Trump s ego.Frankly, Trump only has himself to blame for the chaos in the White House. He actually thought he would be inheriting President Obama s White House staff and found out rather late in the game that he would have to hire his own. Furthermore, Trump didn t  drain the swamp,  he just hired actual snakes to make the swamp dirtier.Our country can t take four years of Trump and his minions in office. A lot of damage has already been done and in order to prevent irreversible damage Trump and his administration need to be ousted before our nations pays severe consequences for the mistake made on November 8, 2016.Featured image via Win McNamee/Getty Images",0,Fake,Real
4034,Exclusive: U.S. to renew most Myanmar sanctions with changes to aid business,"WASHINGTON (Reuters) - The United States plans to renew the bulk of its sanctions against Myanmar when they expire next week, but will make some  changes aimed at boosting investment and trade, according to several senior U.S. officials and congressional aides. An announcement on extending much of the International Emergency Economic Powers Act, or IEEPA, could come as soon as Tuesday ahead of a visit to the Southeast Asian nation by Secretary of State John Kerry on May 22, officials said. The U.S. Treasury Department has significantly eased sanctions against Myanmar by issuing general licenses that give companies and investors exemptions to sanctions targeting more than 100 individuals and businesses, including some of Myanmar’s biggest business players. U.S. officials began lifting trade and financial sanctions against the country after military leaders launched reforms that led to a civilian government being formed in 2011, beginning its transformation from a half-century as an international pariah. In December, Treasury temporarily relaxed trade restrictions on the country also known as Burma by allowing all shipments to go through its ports and airports for six months. This time, Washington will likely offer more general licenses to specific companies, and take some people off Treasury’s list of “Specially Designated Individuals” targeted for sanctions, congressional aides and U.S. officials said. Kerry’s visit to Myanmar is his first since the party of Aung San Suu Kyi, the country’s Nobel laureate, swept to power following a landslide election win in November. A constitution drafted by the country’s former military rulers bars her from becoming president. President Barack Obama’s opening to Myanmar followed by its peaceful transition to an elected government is seen as one of his foreign policy achievements. He has visited there twice. But the administration also wants to maintain leverage on the country to guard against backsliding on reforms and to press for improvement on human rights. By renewing the legal framework for sanctions even as it eases some measures, Obama will offer the private sector more breathing room while maintaining pressure on its military, which still holds significant political power. The sanctions had been due to expire on May 20. Washington has deep concerns about human rights conditions in predominantly Buddhist Myanmar, especially violence against ethnic and religious minorities including Rohingya Muslims. Members of the U.S. Congress, from both parties, are watching closely and could move to clamp down on Myanmar themselves if they think Obama is moving too quickly. Last month, Senators Cory Gardner and Ben Cardin, the Republican and Democratic leaders of the Foreign Relations Asia subcommittee, wrote to Kerry and Treasury Secretary Jack Lew expressing concern about rights, and asking the administration to work with Congress to ensure those concerns were addressed.  “Like you, we want to ensure that the U.S. is Burma’s strongest supporter on its road to democracy,” the senators said in the letter, seen by Reuters. U.S. officials, speaking on condition of anonymity, said Aung San Suu Kyi supported the extension of U.S. sanctions with some changes. Discussions with her have focused on how to properly target trade restrictions so they do not hurt Myanmar’s overall economy, but keep pressure on military-owned institutions, they said. “We are looking to take steps to demonstrate our support for the new democratically elected government of Burma ...and that we’re taking the necessary steps to ensure that they succeed, that they can carry on economic developments and reforms,” a senior administration official told Reuters. “At the same time we want to do that in a smart, measured way that gives us a range of options and flexibility to respond appropriately going forward,” the official added. The United States is eager to expand relations with Myanmar to help counteract China’s rise in Asia and take advantage of the opening of one of the world’s last “frontier markets,” growing but less developed emerging economies. Peter Kucik, a former senior sanctions adviser at the U.S. Treasury, said despite an easing of some banking sanctions by the United States since 2012, transactions with Myanmar were still difficult. “I suspect the changes that get announced all drive at the same end goal: which is to promote and make easier the trade and business relationships between the two countries and encourage continued reform while minding concerns,” said Kucik. “The details will really indicate where the principal areas of remaining concern are but broadly speaking they are going to be aligned with what we’ve seen so far,” he said. ",1,Fake,fake
3011,Anti-Trump Protester Surrounded By Mexican Flags In CA: “If Trump Wins He’ll Be Dead Within A Week…Cartel Won’t Have His Bullsh*t” [VIDEO],"It was actually refreshing to see the cops fighting back against an unruly mob of Mexican flag carrying rioters in San Diego (Watch video HERE). It s interesting to see how little coverage the threats against Donald Trump s life are getting by the press. Could you imagine a LEGAL American Tea Party member threatening the life of Hillary? Do you think you d have to scour conservative news sources to find that story? No need to answer that Hundreds of protesters gathered outside a Donald Trump rally on Friday, chanting  f**k Donald Trump  and holding obscene signs   including one that included a death threat against Trump should he win the presidency in November.The young protester held up a sign that read:  If TRUMP wins He ll be DEAD with in A week The Cartel wont have his Bullsh*t. Protester outside Trump San Diego rally threatens Trump with death by cartel if @realDonaldTrump is elected pic.twitter.com/khqIm8Ro4h  Michelle Moons (@MichelleDiana) May 27, 2016Mexican flags waved as the crowd flooded the street in front of the San Diego Convention Center, where Trump was speaking.Arrests were also made at the anti-Trump riots. Most of them appeared to be Hispanic. Will the media ever disclose how many of the people who were arrested are illegal aliens.Protester handcuffed outside Trump San Diego rally pic.twitter.com/qpMR3Jbskt  Michelle Moons (@MichelleDiana) May 28, 2016At one point bottles were thrown at police, and in the course of the protests, several people were detained. Several pi atas depicted Trump, including one whose head had been severed in the street, with the rest just a crumpled bit of papier-m ch .Via: Breitbart NewsWhat you didn t see reported by the mainstream media was the ENORMOUS crowd of supporters inside the San Diego venue where Trump was announced to thunderous applause. It s no wonder the Left is freaking out about Trump. He is drawing tens of thousands of supporters in the bluest of blue states and they re coming because they believe in him. They re not coming because of the color of his skin or his promise to fundamentally destroy our nation, they re coming because they want to see America return to her greatness and they believe Trump has the ability to actually make that happen. What America didn't see much of! @realDonaldTrump's rally in Fresno, CA. w/ the MOVEMENT! AKA, #TrumpTrain  pic.twitter.com/oETrL6M4A5  Dan Scavino Jr. (@DanScavino) May 28, 2016",0,Fake,Fake
2151,At least 12 dead in bus crash on excursion to Mexican ruins,"MEXICO CITY (Reuters) - Twelve people died and 18 were injured on Tuesday in Mexico s  state of Quintana Roo when a tour bus lost control and rolled over during an excursion to ancient ruins. The bus was carrying 31 passengers, including citizens of the United States, Brazil and Sweden, authorities said. A child was among the dead. Quintana Roo is one of three states on Mexico s Yucatan Peninsula, which has popular tourist sites. Twenty-seven of the passengers had been traveling on Royal Caribbean cruise ships, spokeswoman Cynthia Martinez said.   Our hearts go out to all those involved in the bus accident,  Martinez said in a statement.  We are doing all we can to care for our guests, including assisting with medical care and transportation.  The tourists were headed to the archaeological zone of Chacchoben, an ancient Mayan ruin south of the resort town of Tulum, when the vehicle veered off the highway early on Tuesday. After the accident, passengers were taken to hospitals, bus company Costa Maya said in a statement. Five have been discharged and the injured were in stable condition, it said. The government of Quintana Roo said in a statement that it was investigating the cause of the accident. The U.S. embassy in Mexico said it was working with authorities to learn whether U.S. citizens were aboard the bus. Last year, 11 tourists were killed in a crash in Quintana Roo when their bus flipped en route to Cancun, the Associated Press reported. ",1,Real,Fake
5588,Fight over electoral district boundaries heads to Supreme Court,"WASHINGTON (Reuters) - It is a political practice nearly as old as the United States - manipulating the boundaries of legislative districts to help one party tighten its grip on power in a move called partisan gerrymandering - and one the Supreme Court has never curbed. That could soon change, with the nine justices making the legal fight over Republican-drawn electoral maps in Wisconsin one of the first cases they hear during their 2017-2018 term that begins next month. Their ruling in the case could influence American politics for decades. Wisconsin officials point to the difficulty of having courts craft a workable standard for when partisan gerrymandering violates constitutional protections. Opponents of the practice said limits are urgently needed, noting that sophisticated technological tools now enable a dominant party to devise with new precision state electoral maps that marginalize large swathes of voters in legislative elections. “There is a sense that something has gone amiss with American democracy, that there is this effort to rig the rules of the game,” said Michael Li, an expert in redistricting at New York University School of Law’s Brennan Center for Justice. “Gerrymandering used to be a dark art, and now it’s a dark science.” The justices will hear arguments on Oct. 3 in Wisconsin’s appeal of a lower court ruling that found that the electoral map drawn by state Republicans ran afoul of the U.S. Constitution. The map, drawn after the 2010 U.S. census, enabled them to win a sizable majority of Wisconsin legislative seats despite losing the popular vote statewide to the Democrats. The party’s majority has widened since.  The justices must decide whether courts should have a say in such matters. The Supreme Court for decades has been willing to invalidate state electoral maps on the grounds of racial discrimination but never those drawn simply to give one party an advantage. The justices have never settled on a standard by which partisan gerrymandering claims can be measured. In a 2004 case, Justice Anthony Kennedy left the door open for a “workable standard” to eventually be found. Kennedy, a conservative who sometimes sides with the liberal justices on a court with a 5-4 conservative majority, could cast the deciding vote in the Wisconsin case.  A federal three-judge panel ruled 2-1 last November that Wisconsin’s redistricting plan violated the U.S. Constitution’s 14th Amendment guarantee of equal protection under the law and First Amendment right to freedom of expression and association. Over the decades, both Republicans and Democrats have been accused of gerrymandering. Since 2010, Republicans’ control of redistricting has coincided with major seat advantages for them in state legislatures, the Brennan Center said.  It is not just Republicans who are accused of abuses. Republican voters sued over districts drawn by Democratic lawmakers in Maryland and have appealed to the Supreme Court. State and federal legislative district boundaries are reconfigured after the U.S. government conducts a census every decade so that each one contains about same number of people, typically by the party that controls the state legislature. The Republican National Committee and several conservative groups have backed Wisconsin, but leading Republicans including Senator John McCain, 1996 presidential nominee Bob Dole and Ohio Governor John Kasich have joined critics who argue that partisan gerrymandering distorts the democratic process. ‘SOCIAL-SCIENCE HODGEPODGE’ Wisconsin Republicans argued that election results since their redistricting plan was passed in 2011 reflect the state’s political geography, with Democrats concentrated in cities like Milwaukee and Madison and Republicans more spread out around the state.  The state also took issue with metrics that the lower court used to determine that there was a significant partisan bias in the redistricting plan. This “social-science hodgepodge,” the state told the justices, makes it impossible for judges to fairly determine when an electoral map is unlawful.   “Plaintiffs’ social-science approach would sow chaos. Each legislatively drawn plan would be immediately challenged in federal court,” the state said in a legal brief to the justices. Nicholas Goedert, a Virginia Tech redistricting expert who testified in court for Wisconsin, said the metrics may be inappropriate because their results can change from one election to the next. Goedert noted that large shifts in the mood of voters can cause even highly biased electoral maps to flip. “Partisan maps have a tendency to backfire on the party that drew them,” Goedert said. The case began in 2015 when a dozen Wisconsin Democratic Party voters sued state election officials claiming the redistricting law intended to discriminate against them for their political beliefs and create enduring Republican majorities. They urged the justices to either greenlight the lower court’s method of deciding cases of partisan gerrymandering, or create their own.  “Government should treat voters equally regardless of their viewpoint and we have ways to measure it,” said Danielle Lang, an attorney for the plaintiffs. If the justices rule that courts must stay out of this highly political process, voters will lose, Lang said. “There would be no way for voters to rein in partisan gerrymandering, no way for voters to take back control of their government.” (For a graphic on Wisconsin state electoral maps, click tmsnrt.rs/2haOPD5) ",1,Fake,real
9481,"Huge blast in China's Ningbo city kills at least two, cause unknown","BEIJING (Reuters) - A powerful explosion in a Chinese city south of Shanghai brought down buildings in a neighborhood marked for demolition, killing at least two people, state television reported on Sunday. The explosion struck at around 8:50 a.m. (0050 GMT) in Jiangbei district in the port city of Ningbo in Zhejiang province, China Central Television (CCTV) reported. Police said the cause of the blast was still uncertain.  A  huge tremor  was felt in the vicinity when it hit, CGTN, a network operated by CCTV, wrote on Twitter.  The force of the explosion destroyed the roofs of two buildings at the site of the blast, which CCTV said were already structurally unsound.  It also shattered windows and punched holes in the walls of some residential and commercial properties as far as a kilometer away.  Images from CCTV also showed a few flattened cars and a low-rise building with a collapsed wall.  The state broadcaster said two people were killed, while 16 were slightly wounded and two were in serious condition. CCTV said the blast was not a gas explosion, as the gas pipelines beneath the ground were no longer active, citing the operator of the pipelines.  According to local Zhejiang Daily, the buildings that collapsed had already been cleared of people. Police told Reuters the area had been marked for demolition. The official People s Daily posted aerial photographs of firefighters working at the site of the blast - an open area of debris and broken concrete.  The newspaper said there were no residents at the site of the explosion, though there might have been rubbish collectors at work when the blast occurred.  Another photograph posted by People s Daily showed grey smoke rising over the skyline of the city of Ningbo, about 100 kilometers (62 miles) south of Shanghai.  Earlier in the day, the official agency Xinhua news agency said the blast had happened at a factory.  Rescue work and an investigation into the cause were under way, local police said on Weibo.  Blasts and other accidents are common in China due to patchy enforcement of safety rules, although the government has pledged to improve checks to try to stamp out such incidents.  ",1,Real,Fake
15122, ‘Might Have Been Faked By Liberals’: Top Adviser Defends Trump’s Silence On Mosque Bombing,"I mean, that headline, right? Did someone actually say that?At this point, you shouldn t be surprised. Donald Trump is a conspiracy-spouting, heartless, right wing douchebag. Why wouldn t every single member of his administration be? Now, I have a pretty special hate for Steve Bannon, because I have a crippling fear of toad-men (a holdover from a game of charades with my great uncle Eivind when I was eight). But coming in at a very close second for my deep-seeded loathing is Sebastian Gorka, a dude who wears Nazi paraphernalia in public and is probably totally a really real Nazi, you guys.For some reason, news people keep inviting Gorka to come say horrible things on their shows, and he keeps not letting anyone down. Monday, it was MSNBC s Ali Velshi and Stephanie Ruhle who were tasked with tolerating Gorka s condescending bullshit for a few minutes, and he was just full of witty goodness. When the hosts asked him why Donald Trump had not yet made a public statement about the terrorist bombing in Minnesota, you could see the disgust and contempt on his face:There s a great rule: All initial reports are false. You have to check them and find out who the perpetrators are. We ve had a series of crimes committed, alleged hate crimes by right wing individuals in the last six months that turned out to be propagated by the left. Let s allow the local authorities to provide their assessment and then the White House will make its comments.There is a lot to unpack there. I suggest we just focus on the obvious: That there s been exactly one attack  propagated by the left  in the last six months, and it was never at any point presumed to have been a right-winger. Like, we knew within the hour what political campaign the guy had worked for.Let s not do too much separation here, though. Gorka is part and parcel of an administration that would say all the same things, no matter who the talking head was. This is an administration that is seriously trying to pretend like a bomb thrown through a mosque window  might actually have been some Alex Jones-like  false flag  perpetrated by someone on the left.That s despicable. Here s a better question, guys  Why does it matter who did it before you call it terrorism?Watch the exchange here:Read more:Featured image via Alex Wong/Getty Images",0,Fake,Real
5238,Wife of Chechen accused of Putin assassination plot shot dead near Kiev,"KIEV (Reuters) - The Ukrainian wife of a Chechen man accused by Russia of plotting to kill President Vladimir Putin was shot dead outside Kiev on Monday in an attack that also wounded her husband, Ukrainian interior ministry officials said. Amina Okuyeva and Adam Osmayev were in a car that was shot at from bushes near a railway crossing on the outskirts of the capital, interior ministry advisors Anton Gerashchenko and Zoryan Shkiryak said in separate posts on Facebook. The attack follows a vehicle bombing in Kiev last Thursday, in which two people were killed and three wounded, including Ihor Mosiychuk, a member of the populist opposition Radical Party. Okuyeva had links to Mosiychuk, having once worked for him in an advisory role.  As a result of the injuries she sustained, Amina died. Adam Osmayev was wounded, but will live. I just spoke to him on the telephone,  Gerashchenko said. The incident is the second attempt this year on the life of Osmayev, from Russia s mainly Muslim Chechnya region. In June, he survived an attack by a gunman, who was in turn shot and wounded by Okuyeva. Gerashchenko and Shkiryak did not suggest a motive for the latest incident.  Mosiychuk has blamed Russia for last week s bombing, while Ukrainian police have said Russian involvement is one of the possible motives being investigated. Russia has dismissed the accusations as a product of anti-Russian sentiment in Ukraine.  Relations between Kiev and Moscow collapsed in 2014 after Russia seized Ukraine s Crimea peninsula and backed a pro-Russian separatist insurgency in eastern Ukrainian regions. Russian authorities accuse Osmayev of being part of a 2012 plot by Islamist rebels to kill Putin with a bomb in central Moscow. Osmayev and Okuyeva are well-known figures in Ukraine, having served as volunteers for the Ukrainian military in the fight against pro-Russian rebels. Moscow has fought two wars with separatists in Chechnya  since the 1991 collapse of the Soviet Union. The region is now broadly under the control of Moscow, but Chechens are known to have fought both for the pro-Russian rebels and for the Ukrainian army in the conflict in eastern Ukraine. Since fighting broke out in the east in 2014, the number of incidents involving explosives outside the conflict zone has increased. There has been a spate of vehicle bombings over the past 18 months in Kiev, the capital, and elsewhere, but investigators have failed to find those responsible. ",1,Real,Fake
10870, Hillary SHUTS DOWN Trump Supporters Calling Her Husband A Rapist At Rally (VIDEO),"Ever since Donald Trump got exposed through an audio tape leak for bragging about how he sexually assaults women, Trump supporters have been sticking up for their favorite misogynist more than ever.Following in the Republican nominee s footsteps, their only defense against the truth in those tapes is to put blame on Democratic presidential candidate Hillary Clinton s husband, former President Bill Clinton, for the rape allegations against him.Hillary is taking this all in stride, and is completely shutting down any Trump lovers who dare hijack her rallies and distract voters from focusing on moving America forward. During a rally with Al Gore in Florida today, Clinton s talk on climate change was interrupted by Trump supporters who were yelling about her husband being a rapist. Here s a video of one such supporter, who obviously refuses to acknowledge the fact that his own candidate has several rape cases against him, one involving a minor. For 2nd day in a row, a protester has interrupted HRC by yelling:  Bill Clinton is a rapist.  Today in Miami, holding WJC image  RAPE  sign: pic.twitter.com/vq1aWilbFs  Monica Alba (@albamonica) October 11, 2016Another clip of footage reveals a Trump supporter doing the same thing, and Hillary s supporters rush to drown him out as he is removed from the venue. Hillary handled the whole thing like a pro, and laughed as she urged everyone to  focus on the issues that matter. You can watch Clinton shut down this unfortunate Trump supporter below:Protester in a shirt with @billclinton s face and the word  rape  escorted from @HillaryClinton rally pic.twitter.com/XwBCxJYcf1  POLITICO (@politico) October 10, 2016TwitterBy the way, these Trump supporters aren t actually going to Hillary s rallies and disrupting them because they truly care about justice for sexual assault victims, or believe Trump is more innocent than Bill Clinton. They re doing it because radio host Alex Jones is offering to give anyone who can get on camera and call Bill Clinton a rapist $5,000. So basically, these people are just trying to get paid   much like Trump himself.On the upside, it looks like Hillary can t be rattled by anything Trump and his pathetic Trump supporters do at this point!Featured image via Joe Raedle / Getty Images",0,Fake,Real
21224,Saudi king says kingdom has made progress in tackling terrorism,"MECCA, Saudi Arabia (Reuters) - Saudi King Salman, receiving dignitaries attending the annual Muslim haj pilgrimage, said on Saturday the kingdom had made progress in eradicating terrorism aimed at attacking its holy sites, state news agency SPA reported. Saudi Arabia, which stakes its reputation on its guardianship of Islam s holiest sites and organizing the haj, has been hit by bombings in recent years and uncovered plots to carry out attacks in Mecca.  The limbs of terrorism have sought to harm the holy cities, paying no attention to their sanctity,  SPA quoted King Salman as telling foreign dignitaries at a reception he held in Mecca, where more than 2 million pilgrims are performing haj.   But the kingdom, by the grace of God and in cooperation with its sisters and friends, has made big successes in eradicating terrorism and has worked decisively and with determination to dry its sources,  he added, without elaborating. Salman also said Saudi Arabia had devoted all its material and human resources to ensure the safety of pilgrims who come from all over the world to perform the five-day ritual, a religious duty to be undertaken once in a lifetime by every able-bodied Muslim who can afford the journey.  We are determined, with God s permission, to continue to provide the highest level of services for the two holy mosques ... to ensure the safety of those who seek the sacred house of God,  he said. The pilgrimage has frequently been hit by stampedes and fires. In the most recent incident, hundreds of pilgrims were killed in a crush two years ago. ",1,Real,fake
